Symbol
ON
MTB
BAX
ACI
UNM
PACW
EA
AMAT
CAH
ACGL
MTG
INTU
KLAC
CMCSA
PAYC
WPC
LVS
CRUS
CDAY
LEN
CRI
RYAN
FOXA
ROP
BEPC
EXEL
VCTR
JBGS
CCI
IPG
OPEN
TROW
WEN
LMT
SPB
NXPI
NIC
WAT
RF
SBNY
AYI
V
SEDG
MDU
FNF
APP
MKSI
POOL
VSCO
BB
PYCR
QRVO
ADSK
HOG
DAL
EHAB
SJR
DV
WBS
EPAM
NEM
CUZ
SASR
NFLX
CME
OSK
OXY
TSCO
ELY
SPI
FOUR
NTAP
SPR
VEEV
AXTA
FRC
IBM
IONS
NTRS
PAG
CVX
LSTR
NWSA
ORI
AGNC
WRK
PFG
AFL
DT
FR
HAL
GPS
TRMB
WMS
SGFY
TNDM
UBER
GPN
UA
FANG
ARES
LW
CDNS
IVZ
PEP
ATR
GTES
RNR
BBY
PSA
FLT
NEE
NEWR
CSX
IRM
ZS
NYCB
SEE
COLD
MAT
CHNG
CHDN
MAIN
AMP
FFIV
FRPT
RPRX
MDLZ
VMEO
BHF
ABNB
BLK
MMM
ACM
MOD
CAT
LYB
MNST
EXP
FIVN
ZH
CHH
VTR
AKAM
BKNG
DSP
ENPH
VST
NWL
GOOGL
NDSN
MCK
CTVA
AMD
OZK
TREX
OMF
AVT
RGA
VLO
AGO
MSA
TEAM
DLTR
CACI
CDK
EBAY
FAF
FMC
RSG
NTB
LII
NVCR
LAZ
HIG
SEB
WSM
HRB
CPRT
HCA
NATI
ADI
STWD
BRO
TKR
BLDR
DLB
CR
LPLA
PLD
EFX
BSET
FHN
ILMN
BRX
K
SF
SPLK
DTEA
CBRE
BBWI
BDX
NVST
PH
CAR
PODD
WAL
TJX
LBRDK
BRFS
MCD
C
SNPS
ATVI
RYN
TXT
MDT
MSP
ACC
UGI
GLW
WBA
AVGO
PEAK
PWR
VFC
TER
NI
TRV
DLR
HEI
CDW
IAC
PLNT
CVS
RCL
SHC
ETSY
TMX
NOW
VITL
DIS
GS
LOW
IIVI
COUP
AXON
OLN
ROKU
SSNC
ARW
EVA
SYNH
AAP
WDAY
WLK
RGLD
BAC
MET
APO
BR
PEGA
FTV
PFE
FLO
EQIX
CABO
SKY
