Symbol
GME
GOOG
AAPL
MSFT
WMT
TGT
BBY
BBBY
AMC
NFLX
META
AMD
AMZN
BAC
CCL
RBLX
SOFI
BABA
SPY
JPM
WFC
C
CS
AOUT
HOFT
CPRI
DKS
TDUP
RCL
TNL
SIX
BZUN
UAA
GLBE
CPS
HLT
BC
REE
DXYN
CHWY
CBRL
QRTEA
KBH
EWBC
ASB
PFG
GROW
CIXX
BBDC
CNA
DGICA
BANF
MFIN
BHF
SBNY
FBMS
FHI
OZK
OSBC
SEIC
BITF
CFB
BUR
MAX
ADV
LILA
GTN
NCMI
GENI
FWONK
SKLZ
LYV
MGNI
LSXMA
LBRDA
TKC
TME
TGNA
FLNT
FVRR
RELX
TRMR
EGLX
SKYX
ENPH
ANY
YALA
OCFT
TTD
TSM
NXPI
FOUR
INSG
TSEM
RUN
DGII
AKTS
NATI
CLBT
ENFN
AI
ASGN
DSGX
GO
ARCE
LINC
DLTR
CLXT
SPB
FRPT
SPTN
TR
MO
TWNK
AGRO
HLF
DOLE
DOGZ
UL
UVV
PPC
KO
SANW
