bins,Global,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Technology,Utilities
-1.0,3.4647251130751356e-06,6.051632134947453e-05,-0.0001797066249667351,-8.126565131410455e-05,0.0009645952611304475,0.0011333113588070664,2.034819153592528e-05,-4.107076410513939e-06,-0.00023535645069087176,-0.00018321013752334102,0.0007286801798504102
-0.99,6.15962077033184e-05,0.00014176994065077874,-0.00013776214637783595,-3.6800034586006246e-05,0.0010282641294369634,0.0012410495295404136,8.513277155921127e-05,4.9502591975922507e-05,-0.0001617378452614996,-0.00014959606653433942,0.0008300298695566704
-0.98,0.00011972769029356166,0.00022302355995208295,-9.581766778893683e-05,7.665582142092065e-06,0.001091932997743479,0.0013487877002737606,0.00014991735158249728,0.00010311226036235896,-8.811923983212744e-05,-0.00011598199554533783,0.0009313795592629305
-0.97,0.00017785917288380492,0.00030427717925338713,-5.3873189200037694e-05,5.213119887019037e-05,0.001155601866049995,0.0014565258710071078,0.00021470193160578327,0.00015672192874879542,-1.4500634402755275e-05,-8.236792455633624e-05,0.0010327292489691908
-0.96,0.0002359906554740482,0.0003855307985546913,-1.1928710611138555e-05,9.659681559828869e-05,0.0012192707343565107,0.001564264041740455,0.00027948651162906926,0.00021033159713523188,5.9117971026616885e-05,-4.875385356733464e-05,0.0011340789386754511
-0.95,0.0002941221380642915,0.00046678441785599555,3.0015767977760588e-05,0.00014106243232638702,0.0012829396026630266,0.001672002212473802,0.00034427109165235524,0.0002639412655216683,0.00013273657645598906,-1.5139782578333037e-05,0.001235428628381711
-0.94,0.0003522536206545348,0.0005480380371572997,7.19602465666597e-05,0.0001855280490544853,0.0013466084709695425,0.001779740383207149,0.00040905567167564123,0.00031755093390810476,0.0002063551818853612,1.8474288410668564e-05,0.0013367783180879714
-0.9299999999999999,0.000410385103244778,0.000629291656458604,0.00011390472515555885,0.00022999366578258364,0.0014102773392760581,0.0018874785539404963,0.0004738402516989273,0.00037116060229454116,0.0002799737873147334,5.208835939967016e-05,0.0014381280077942315
-0.9199999999999999,0.0004685165858350213,0.0007105452757599082,0.000155849203744458,0.00027445928251068196,0.001473946207582574,0.0019952167246738432,0.0005386248317222133,0.0004247702706809776,0.00035359239274410553,8.570243038867176e-05,0.0015394776975004919
-0.9099999999999999,0.0005266480684252646,0.0007917988950612123,0.00019779368233335714,0.0003189248992387802,0.00153761507588909,0.0021029548954071904,0.0006034094117454992,0.00047837993906741413,0.00042721099817347765,0.00011931650137767335,0.001640827387206752
-0.8999999999999999,0.0005847795510155079,0.0008730525143625165,0.0002397381609222563,0.00036339051596687855,0.0016012839441956054,0.0022106930661405376,0.0006681939917687852,0.0005319896074538505,0.0005008296036028499,0.00015293057236667496,0.0017421770769130121
-0.8899999999999999,0.0006429110336057511,0.0009543061336638207,0.0002816826395111554,0.0004078561326949769,0.0016649528125021213,0.002318431236873885,0.0007329785717920713,0.000585599275840287,0.0005744482090322221,0.0001865446433556766,0.0018435267666192725
-0.8799999999999999,0.0007010425161959944,0.0010355597529651248,0.0003236271181000545,0.0004523217494230751,0.0017286216808086372,0.0024261694076072315,0.0007977631518153572,0.0006392089442267236,0.0006480668144615941,0.00022015871434467817,0.0019448764563255324
-0.8699999999999999,0.0007591739987862377,0.0011168133722664292,0.00036557159668895365,0.0004967873661511735,0.001792290549115153,0.0025339075783405787,0.0008625477318386431,0.00069281861261316,0.0007216854198909662,0.00025377278533367974,0.002046226146031793
-0.8599999999999999,0.0008173054813764808,0.0011980669915677333,0.0004075160752778528,0.0005412529828792718,0.001855959417421669,0.002641645749073926,0.0009273323118619292,0.0007464282809995964,0.0007953040253203385,0.0002873868563226814,0.002147575835738053
-0.8499999999999999,0.0008754369639667241,0.0012793206108690377,0.00044946055386675194,0.00058571859960737,0.0019196282857281846,0.002749383919807273,0.0009921168918852153,0.0008000379493860328,0.0008689226307497107,0.000321000927311683,0.0022489255254443128
-0.8399999999999999,0.0009335684465569675,0.0013605742301703418,0.0004914050324556511,0.0006301842163354683,0.0019832971540347005,0.0028571220905406203,0.0010569014719085013,0.0008536476177724693,0.0009425412361790828,0.0003546149983006846,0.0023502752151505733
-0.8299999999999998,0.0009916999291472107,0.001441827849471646,0.0005333495110445502,0.0006746498330635667,0.002046966022341216,0.0029648602612739675,0.0011216860519317872,0.0009072572861589058,0.0010161598416084548,0.0003882290692896861,0.0024516249048568335
-0.8199999999999998,0.001049831411737454,0.0015230814687729503,0.0005752939896334493,0.000719115449791665,0.0021106348906477323,0.003072598432007314,0.0011864706319550731,0.0009608669545453422,0.001089778447037827,0.00042184314027868773,0.0025529745945630936
-0.8099999999999998,0.0011079628943276973,0.0016043350880742542,0.0006172384682223485,0.0007635810665197633,0.002174303758954248,0.0031803366027406614,0.0012512552119783593,0.0010144766229317785,0.0011633970524671992,0.00045545721126768936,0.0026543242842693537
-0.7999999999999998,0.0011660943769179406,0.0016855887073755583,0.0006591829468112477,0.0008080466832478616,0.0022379726272607637,0.0032880747734740086,0.0013160397920016452,0.001068086291318215,0.0012370156578965714,0.000489071282256691,0.002755673973975614
-0.7899999999999998,0.0012242258595081836,0.0017668423266768624,0.0007011274254001468,0.0008525122999759599,0.0023016414955672796,0.0033958129442073558,0.0013808243720249312,0.0011216959597046515,0.0013106342633259435,0.0005226853532456925,0.0028570236636818744
