Symbol
GME
GOOG
AAPL
MSFT
WMT
TGT
BBY
BBBY
AMC
NFLX
META
AMD
AMZN
BAC
CCL
RBLX
SOFI
BABA
SPY
JPM
WFC
C
CS
ZH
FVRR
AMX
SSTK
UONEK
HUYA
RDBX
STRY
SMWB
FENG
OMC
CHTR
Z
THRY
EEX
SJR
OB
CMPR
PERI
TWTR
GEHI
PETZ
VITL
XXII
GOTU
CHGG
MDLZ
BRFS
TSN
LOPE
BYND
IMKTA
SYY
CHD
BTI
NAPA
YQ
NOMD
DTEA
SKIN
TCS
IRBT
VAC
OSW
PTON
ELY
DKNG
FND
LEN
STLA
BYD
SGC
WW
MOD
MED
SKY
BERY
XPEL
BSET
STON
RELY
CMBM
CALX
MNDY
LAW
WIT
FLT
PWSC
STEM
FIS
NTWK
SPI
CVLT
DZSI
DSP
CDK
TDC
RELL
FOUR
SWKS
FLIC
ASA
SAR
FNHC
SAN
SASR
NIC
NOAH
WHF
VCTR
BANX
NTB
ARES
MAIN
KNSL
DGICA
FRME
SNEX
RF
NYCB
ADI
DHR
KO
LOW
MCD
GEHI
CRM
GM
NVDA
SNAP
UBER
BB
